id	CIF	nomor_identitas	nama_sesuai_identitas	alamat
784	CUST000784	5503747054623440	Yuni O.	Kepulauan Riau, Batam - Sutarjo Blok B12 no 503
785	CUST000785	4929474264800000	Devi Uyainah	Jr. Reksoninten No. 47, Bima 66782, Lampung
786	CUST000786	5281628730857600	Indah Mandasari	Gg. Raya Ujungberung No. 987, Sungai Penuh 73212, SulUt
787	CUST000787	5310842372996320	Capa Gunawan	Gg. Kalimalang No. 33, Banjarmasin 60536, Kalimantan Selatan
788	CUST000788	5372185148217940	Fitria Sudiati S.IP	Jalan Ahmad Yani 734, Serang Banten
789	CUST000789	5541779462110780	Zahra Indah Agustina	Untung Suropati No. 953, Bau-Bau Sulawesi Tenggara
790	CUST000790	5514151401442140	Vicky hamima	Gg. Panjaitan No. 273, Tigaraksa 74832, Banten
791	CUST000791	4024007177917710	Sabri	Kampung Agus Salim No. 527, Padang 86753, SumBar
792	CUST000792	4485439495749170	Paramita Carla Kuswandari S.Farm	Dk. Tangkuban Perahu No. 985, Ambon 49432, Maluku
793	CUST000793	5523559464675060	Faisah Agnes Mayasari	Jl. Reksoninten No. 241, Kediri Jawa Timur
794	CUST000794	5576923751427170	Genta Uyainah S.Gz	Jln. Mohammad yamin Yamin No. 128, Medan 78777, Sumatera Utara
795	CUST000795	5454836293205520	Tantri G. Lailasari, S.IP	Psr. Ketandan No. 648, Padangpanjang, SumBar
796	CUST000796	4916440997786410	Junaidi 	Jln. Cikapayang No. 658, Yogyakarta 69067, Aceh
797	CUST000797	5201777742666480	Ella Pertiwi	Ki. Abdul. Muis No. 863, Madiun
798	CUST000798	5347353885442180	Restu Puji Hati	Ds. B.Agam 1 No. 779, Administrasi Jakarta Barat
799	CUST000799	4929614581019170	Ina Yuniar	Jalan Abdul. Muis No. 691, Surakarta 97516, Jateng
800	CUST000800	6011234314231560	Karsa S	Jalan Ki. Abdul 401, Ternate Maluku Utara
801	CUST000801		Cawuk Saputra M.TI.	Jr. Baiduri No. 801, Singkawang 57908, DIY
802	CUST000802	5207983845051470	Samia Rohayu	Ds. Padang No. 714, Cilegon 35940, Banten
803	CUST000803	5498088515343240	I Nyoman Damar	Jl. Bisma No. 68, Ubud, Bali
804	CUST000804	52312312312168500	Purwanto W Ardianto S.E.	Industri No. 549, Bitung SulUt
805	CUST000805	5264376342570320	Eman Tasir Simbolon	Jln. Eka No. 896, Palopo 98944, MalUt
806	CUST000806		Sabrina Handayani	Ki. Baranangsiang No. 771, Pematangsiantar 40651, Aceh
807	CUST000807	5391026601115900	Permata kania	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
808	CUST000808	5305851571743840	Kawaca Napitupulu	Jln. Kyai Hj. Maskur No. 368, Surabaya, Jatim
809	CUST000809	5110303660585720	Clara Wijayanti	Muwardi 207 Jakarta Timur
810	CUST000810	5467422222025940	Maya Yuliana Suryatmi S.Gz	
811	CUST000811	4528061539728550	Jelita Rahima	Gg. Gajah No. 599, Solo 39471, JaTim
812	CUST000812	4485738208448950	Halim Atmaja S	Jln. Baabur Royam No. 561, Balikpapan Kalimantan Timur
813	CUST000813	5505004834695600	Lantar Gilang L.	Psr. Muwardi No. 682, Bau-Bau 77977, Sulawesi Tenggara
814	CUST000814	4532472213938120	Prabawa Wasita M.Ak	Gg. Gremet No. 35, Palu 29156, Kalimantan Selatan
815	CUST000815	5460241322575910	Laila Pratiwi S.T.	Gg. Rajiman No. 524, Sibolga 77458, Sumatera Utara
816	CUST000816	54299693 53420090	Rendy Perdana	Ds. Labu No. 761, Sabang 89889, Aceh
817	CUST000817	5455165793658810	Adi Situmorang	Jalan Basoka Raya No. 650, Cimahi 90847, Jawa Barat
818	CUST000818	6011208504813050	Clara Yulianti	Komplek Pelajar Pejuang 45 No. 577, Pangkal Pinang, Bangka Belitung
819	CUST000819	5381356793479630	Qori Mulyani	Luwu No. 577, Palopo 15116, Sulawesi Selatan
820	CUST000820	4445834100535960	Tampubolon, Kemba J	Jl Yos Sudarso 488 Jatim
821	CUST000821	52344805123168500	Purwanto W Ardianto S.E.	Industri No. 549, Bitung SulUt
822	CUST000822	5272108387968490	Joko Natsir 	Kampung Radio no 348 Tanjungbalai
823	CUST000823	5124860017913840	Milla Piya Pujiati	Laswi No. 353, Tangerang Selatan 15338 Banten
824	CUST000824	4532731244866860	I Gede Wayan	Jl. Nangka Selatan No. 163 Denpasar – Bali
825	CUST000825	5374459816832910	Tasnim G Suryono	Gg. Jambu No. 811, Sungai Penuh 21373, KalUt
826	CUST000826	4716694992580370	Bala Winarno S.H.	Abdul Muis No. 558, Pontianak  Kalimantan Barat
827	CUST000827	531488O679274300	Devi Palastri	Jln. Bayan No. 733, Tangerang 13509, DIY
828	CUST000828	4434742410753270	Nurul Anastasia Melani S.E.I	Pangkal Pinang - Mohammad Yamin No. 622
829	CUST000829	5568182379911740	Zizi Rachel Astuti M.TI.	
830	CUST000830	4485297842393740	Usman Habibi	Psr. Sunaryo No. 789, Pariaman 16488, Gorontalo
831	CUST000831	4929416019069670	Salman Manullang S.Sos	Jln. Bayam No. 858, Salatiga Jawa Tengah
832	CUST000832	5299703837527300	Eka Nashiruddin	Psr. Tentara Pelajar No. 227, Palembang SumSel
833	CUST000833	5234609816983540	Elis Namaga	Jr. Wahidin No. 971, Blitar Jawa Timur
834	CUST000834	4916783784508580	Mohammad	Psr. Ekonomi No. 258, Palu 92383, Sulawesi tengah
835	CUST000835	5124860017913840	Mila Piya	Tangerang Selatan, Jalan Laswi no 353, Banten
836	CUST000836	402400717041821O	Lukita Jailani Ega	Jend. Sudirman No. 896, Bandar Lampung 69294, Lampung
837	CUST000837	5548040671917160	Diana Andriani	
838	CUST000838	5225743003513970	Mardhiyah Almira	Samarinda, Jawa Barat
839	CUST000839	4716172265464570	Dadap Tamba	Dk. Sudiarto No. 422, Bontang 85546, Maluku
840	CUST000840	5588228266984940	Amalia Unjani Usada	Jalan Sugiono No. 914, Tangerang Banten
841	CUST000841	5173375698838020	Irma Zizi Rahmawati	Dk. Babakan No. 920, Bandung 33057, Jabar
842	CUST000842	5457906329359260	Bakti adi Situmorang	Jln Baranang Siang No. 189, Singkawang Kalimantan
843	CUST000843	5220911672812730	Violet Citra Sudiati	Jalan Gajah no 587, Banjarmasin 
844	CUST000844	4716172265464570	Dadap T	Dk. Sudiarto No. 422, Bontang 85546, Maluku
845	CUST000845	5414991088771110	Iksan Suwrno	Ki. Dahlia No. 543, Madiun 25474, JaTim
846	CUST000846	5275721168073160	Usada Tari	Bukit Tinggi Sumatera Barat, Ki Wahidin Sudirohusodo 62
847	CUST000847	5498382229499510	Salimah Pertiwi	Baan No. 828, Malang 68837, Jawa Timur
848	CUST000848	5114882255280530	Opung Mansur M.M.	Ki. R.E. Martadinata No. 391, Kendari 55051, DIY
849	CUST000849	5385764714795100	Kencana	Dr Wahidin Sudirohusodo 48-A RT 019/06 DI Jogjakarta
850	CUST000850	5166967713493690	Cahyo D Rajata	Papua, Cokroaminoto blok 2 no 971
851	CUST000851	4081427725150560	Gawati Wijayanti	Psr. Tubagus Ismail No. 119, Tanjung Pinang 47202, Maluku
852	CUST000852	5457906329359260	Bakti adi Situmorang	Jln Baranang Siang No. 189, Singkawang Kalimantan
853	CUST000853	4556085568899390	Nadya Lintang Agustin	Kyai Gede No. 483, Sawahlunto - Sumatra barat
854	CUST000854	4916475907608950	Ketut Wiana	Monkey Forest, Ubud, Bali
855	CUST000855	5553748373175900	Marsito Warsita Marpaung	Dk. Bata Putih No. 7, Pangkal Pinang 93618, Bangka belitung
856	CUST000856	5301831652075750	Kania Widiastuti	Kpg. Orang No. 210, Sibolga 98637, SulTra
857	CUST000857	4716866427869500	Adhi	JL.Sugeng Jeroni No.28 Yogyakarta Yogyakarta
858	CUST000858	5173375698838020	I Zizi Rahmawati	Dk. Babakan No. 920, Bandung 33057, Jabar
859	CUST000859	4916662978148840	Najwa Widiastuti	Mohammad Toha No. 783, Pariaman 12736, Sumatera Barat
860	CUST000860	5220911672812730	Violet Cita Sutiadi	Kalimantan Selatan, Banjarmasin Gajah 587
861	CUST000861	5128376927778700	Opan Hutasoit	Kampung Babakan Malang
862	CUST000862	5204646680624910	Asmadi	Metro, Abdullah 319 Jakarta Barat
863	CUST000863	4716834641345900	Abi	Wahidin 966, DIY
864	CUST000864	5207983845051470	Samiah Rahayu	Ds. Padang No. 714, Cilegon 35940, Banten
865	CUST000865	4916546054862340	Cayadi Winarno M.TI.	Psr. Kebangkitan Nasional No. 642, Padangsidempuan 95481, SumUt
866	CUST000866	47164833640921OO	Keisha Genta Mandasari	Ds. Pelajar Pejuang 45 No. 247, Bandung 79279, DKI
867	CUST000867	4916475907608950	Ketut Wiana	Jln. Monkey Forest, Ubud, Bali
868	CUST000868	554598606024658O	Nadia Umi Laksmiwati	Gang Lembong No. 771, Sorong Papua Barat
869	CUST000869	6011208504813050	Clara Yulianti	Komplek Pelajar Pejuang 45 No. 577, Pangkal Pinang  Bangka Belitung
870	CUST000870	4556056227010600	Dalima Prastuti	Jl. Suryo No. 553, Banjar  Jawa Barat
871	CUST000871	4539393063123890	I Nyoman Perkasa	Jalan Tukad Badung 168 C Denpasar – Bali
872	CUST000872	4485439495749170	Paramita Carla Kuswandari S.Farm	Dk. Tangkuban Perahu No. 985, Ambon 49432, Maluku
873	CUST000873	5194720497047420	Angga Maulana	Psr. Abdul Rahmat No. 997, Yogyakarta
874	CUST000874	5336688906202920	Dodo Napitu Pulu	Gg. Jayawijaya No. 460, Osua 32020, Papua
875	CUST000875	6011158977332040	Asirwanda Pradana S.Gz	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
876	CUST000876	5585234814101620	Cakrawala Permadi	Jl. Laksamana 590, Makassar 90575, Sulawesi Selatan
877	CUST000877	5545986060246580	Nadia Umi Laksmiwati	Gg. Lembong No. 771, Sorong Papua Barat
878	CUST000878	5281628730857600	Indah Amanda Sari	Gg. Raya Ujungberung No. 987, Sungai Penuh 73212, SulUt
879	CUST000879	5440093893953600	Aswani Aditya Tamba S.Pd	Dk. Bagonwoto  No. 970, Palangka Raya 48561, KalTeng
880	CUST000880	5299703837527300	Eka Nashiruddin	Psr. Tentara Pelajar 227, Palembang, SumSel
881	CUST000881	5264761669081100	Cahyadi Januar	Imam Bonjol 707 Makassar Sulawesi Selatan
882	CUST000882	5596021438228220	Gandewa Simanjuntak	Jalan Labu No. 762, Kediri 52777, Jatim
883	CUST000883	5475021535727150	Rachel Andriani	Desa Ekonomi No. 210 RT 2 RW 8, Pasuruan 75523, Jawa Timur
884	CUST000884	5166967713493690	Rajata D Cahyo	 Cokroaminoto No. 971, Jayapura 78329, Papua
885	CUST000885	5524587298406400	Radika Hendri Ramadan S.Gz	Jr. Yap Tjwan Bing 525, Tanjung Pinang 90972, Kep Riau
886	CUST000886	4434742410753270	Nurul Anastasia Melani S.E.I	Kampung Muhammad Yamin 622 Pangkal Pinang
887	CUST000887	KTP4532203651039110	Salsabila Zulaika	Jalan Bayakalibungur 937, Tanjungbalai SumUt
888	CUST000888	5479864287899780	Marsito Firmansah	Psr. Bahagia  No. 814, Samarinda 33039, Kalimantan Timur
889	CUST000889	5495024463314370	Saptono Maryanto	Kepulauan Tidore, Jalan Mulyadi no 830, Maluku Utara
890	CUST000890	45396825OO256130	Maya Andriani	Ki. Bara No. 898, Kediri
891	CUST000891	5500099863915OOO	Gasti Nilam Yuliarti M.Kom.	Ki. Otista No. 800, Sukabumi 71048, Banten
892	CUST000892	5201777742666480	Ella Pertiwi	Ki. Abdul. Muis No. 863, Madiun
893	CUST000893	4341617033845740	Pranawa Pranowo	Gg. Ketandan No. 292, Balikpapan 53215, Bengkulu
894	CUST000894	4532751137432220	I Gede Perkasa	Jl. Tukad Badung 168 C Denpasar – Bali
895	CUST000895	4556226415428850	Vivi Diana Rahimah M.TI.	Jr. Sentot Alibasa No. 972, Sukabumi Jabar
896	CUST000896	5166967713493690	Cahya Rajata	 Cokroaminoto blok 2 no 971, Jayapura  Papua
897	CUST000897	4716172265464570	Dadap Tambah	Dk. Sudiarto No. 422, Bontang 85546, Maluku
898	CUST000898	KTP5305851571743840	Kawaca Napitupulu S.T.	Jln. K.H. Maskur No. 368, Surabaya, Jatim
899	CUST000899	4716557588698410	Oni Dina Pertiwi	Ki. Basoka Raya No. 111, Bogor  Jabar
900	CUST000900	6011219931100860	Clara Yulianti	Desa Banceng Pondok No. 626, Banjarbaru 64255, Kalimantan Selatan
901	CUST000901	5461008152511090	Hesti Anggraini	Kpg. Dipatiukur No. 174, Cimahi 53414, Jawa Barat
902	CUST000902	5498382229499510	Salimah Pertiwi	Jl. Baan  GH 2 / 828, Malang  Jawa Timur
903	CUST000903	4024007165484850	Wani Rahimah M.M.	Ds. Baabur Royan No. 360, Palangka Raya 52175, DKI
904	CUST000904	4075611918558360	Nadia Rina Purwanti	Gang Baha No. 165, Padangsidempuan 39417, DKI
905	CUST000905	4341617033845740	Pranawa Pranowo	Gg. Ketandan No. 292, Balikpapan 53215, Bengkulu
906	CUST000906	4024007107685700	Zizi Y	Kampung Rajawali Timur No. 60, Sorong 68431, NTB
907	CUST000907	5585234814101620	Cakrawala Permadi	Jl. Laksamana No. 590, Makassar 90575, Sulawesi Selatan
908	CUST000908	5124860017913840	Milla Pia Fujiati	Laswi No. 353, Tangerang Selatan 15338 Banten
909	CUST000909	53148806792743OO	Devi Palastri	Jln. Bayan No. 733, Tangerang 13509, DIY
910	CUST000910	5440093893953600	Aswani Aditya Tamba S.Pd	Kabupaten Palangkaraya, Bagonwoto 970, Kalimantan Tengah
911	CUST000911	5332639317878030	Hutasoit Luwes Rusman	Basuki 348, Dumai Kode Pos 85252, Jambi
912	CUST000912	5194720497047420	Angga Baya Maulana	Pasar Abdul Rahmat No. 997, Yogyakarta
913	CUST000913	5409162640301140	Lim Siau Khe	Pasar Suryo Pranoto No. 905, Sungai Penuh 23413, Jambi
914	CUST000914	4556226415428850	Vivi Diana Rahimah M.TI.	Jr. Sentot Alibasa No. 972, Sukabumi
915	CUST000915	5475021535727150	Rahel Andriani	Ekonomi No. 210 RT/RW 2/8, Pasuruan 75523, Jawa Timur
916	CUST000916	4445834100535960	Kemba Jaga Raga	Jawa Timur Probolinggo, Yos Sudarso 488
917	CUST000917	5594655853652760	Lidya Nurdiyanti	Psr. Gremet No. 31, Padangpanjang 91131, Sumatera Barat
918	CUST000918	4485024556028240	Nadia Yuniar S.IP	Ds. Bata Putih No. 986, Kupang 49671, Gorontalo
919	CUST000919	5252399824747070	Budi Napitupulu	Psr. Gading No. 904, Sukabumi 89588, Banten
920	CUST000920	5512555832182850	Genta Usada	Kyai Haji Muwardi  962, Ambon  Maluku
921	CUST000921	4485297842393740	Usman Habibi	Psr. Sunaryo No. 789, Pariaman 16488, Gorontalo
922	CUST000922	4539127383314490	Kadir Wibisono S.H.	Komp. Pondok Cilegon Indah B13/9 Banten
923	CUST000923	5374459816832910	Tasnim Gadang Suryono	Gg. Jambu No. 811, Sungai Penuh 21373, KalUt
924	CUST000924	4485920695398470	Kemba Danu	Labu No. 442, Cirebon, JaBar
925	CUST000925	5405490014300840	Tio Ban Cung	Dk. Rumah Sakit No. 23, Palembang 91530, JaTeng
926	CUST000926	5192407456579430	Yulia Pia	
927	CUST000927	4532762862978300	Vera Victoria Hartati Prabowo Nainggolan	Gang Kalimalang No 298 Cilegon, Banten
928	CUST000928	4485558618892200	Jono Dabukke	Kpg. Basmol Raya No. 123, Singkawang 35483, Kalimantan
929	CUST000929	5500099863915000	Gasti Nilam Yuliarti M.Kom.	Ki. Otista No. 800, Sukabumi 71048, Banten
930	CUST000930		Bakda Sitorus	Jln. Gajah No. 370, Bontang 94921
931	CUST000931	4434742410753270	Nurul Anastasia Melani S.E.I	Kpg. Moch. Yamin No. 622, Pangkal Pinang 69602
932	CUST000932	4716700453729410	Muhammad Simanjuntak M.Ak	Gg. Ters. Buah Batu No. 396, Tual 94508, KalBar
933	CUST000933	5433267102432260	Rendy Perdana	Jln. Mulyadi No. 430, Merauke 48881, Papua
934	CUST000934	4485048312919220	Bella Novita Sari S.Kom	Kpg. Bahagia  Timur No. 185, Palopo 58744, SulSel
935	CUST000935	6011068935379450	Prastuti Elisa	Kpg. Suprapto No. 60, Tidore Kepulauan 33603, Maluku Utara
936	CUST000936	525239982474707O	Budi Napitu Pulu	Pasar Gading No. 904, Sukabumi Banten
937	CUST000937	5541779462110780	Zahra Indah Agustina	Untung Suropati No. 953, Bau-Bau Sulawesi Tenggara
938	CUST000938	5449924520294580	Zail Gunawan 	Kyai Gede 542, Banjarbaru  Kalimantan selatan
939	CUST000939	5299703837527300	Eka Nashiruddin	Tentara Pelajar No. 227, Palembang 95637, SumSel
940	CUST000940	5513356044383860	Puti Ratna Padmasari S.IP	Desa Wahidin Sudirohusodo No. 799, Kupang, NTT
941	CUST000941	5124860017913840	Mila Pia	TangSel, Laswi 353 RT 7 RW 8, Banten
942	CUST000942	5255753891363310	Oni Yulianti	Dk. Haji No. 480, Tangerang 36130, Banten
943	CUST000943		Prastuti Elisa	Kpg. Suprapto No. 60, Tidore Kepulauan 33603, Maluku Utara
944	CUST000944	4075611918558360	Nadia Rina Purwanti	Baha 165, Padangsidempuan 39417, DKI
945	CUST000945	5553748373175900	Marsito Warsita Marpaung	Dk. Bata Putih No. 7, Pangkal Pinang 93618, Bangka belitung
946	CUST000946	5576923751427170	Genta Uyainah S.Gz	Jln. Moch. Yamin No. 128, Medan 78777, Sumatera Utara
947	CUST000947	5214145029625140	Vivi Cornelia Hastuti	Jln. Lada No. 965, Depok JaBar
948	CUST000948	4716694992580370	Bala Winarno S.H.	Abdul Muis No. 558, Pontianak  Kalimantan Barat
949	CUST000949	54287485 40753890	Dinda Padma Hastuti	Jl. Cikutra Barat No. 598, Langsa, Aceh
950	CUST000950	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
951	CUST000951	4716936601849160	Warsa Haryanto S.Psi	Ds. Bayam No. 81, Surabaya 44957, JaTim
952	CUST000952	5495214942928330	Nyoman Damar Prasetya	Jend. A. Yani No. 661, Banjar Jawa Barat
953	CUST000953	5385764714795100	Kencana	Jalan Dr Wahidin Sudirohusodo 48 RT 019/06 DI Jogjakarta
954	CUST000954	4716172265464570	Dadap Tambah	Dk. Sudiarto No. 422, Bontang 85546, Maluku
955	CUST000955	4539393063123890	I Nyoman Perkasa	Jalan Tukad Badung 168 C Denpasar – Bali
956	CUST000956	5281628730857600	Indah Manda Sari	Gg. Raya Ujungberung No. 987, Sungai Penuh 73212, SulUt
957	CUST000957	5211654496507300	Anitta	Jalan Hang nomor 910, Pekanbaru Riau
958	CUST000958	5161156836370260	Fitriani Hassanah	Jr. Banda No. 42, Palu 91144, Sulteng
959	CUST000959	4532181623081990	Candra Yusuf Suryana	Pasar Jamika No. 878, Batam 30046, Riau
960	CUST000960	453968250025613O	Maya Andriani	Ki. Bara No. 898, Kediri
961	CUST000961	5391026601115900	Kania Permata	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
962	CUST000962	5391026601115900	Kania Parmata	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
963	CUST000963	5467715091864550	Mana Zulkarnain	Jalan Baung No. 285, Langsa 85710, Aceh
964	CUST000964	5391026601115900	Kania Permata	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
965	CUST000965	5166967713493690	Cahyo Danuja Rajata	 Cokroaminoto No. 971, Jayapura 78329, Papua
966	CUST000966	5543002542159720	Raihan Nardji Maryadi	 Sunaryo 140, Pangkal Pinang Bangka Belitung
967	CUST000967	5400476050223110	Elvin Kardi Prasetya M.Ak	Gg. Sutoyo No. 927, Bandar Lampung 90965, Lampung
968	CUST000968	4532181623081990	Candra Yusuf Suryono	Psr. Jamika No. 878, Batam 30046, Riau
969	CUST000969	5585234814101620	Tjakrawala Permadi	Jl. Laksamana No. 590, Makassar, Sulawesi Selatan
970	CUST000970	5374459816832910	Tasnim Gadang Suryono	Gg. Jambu No. 811, Sungai Penuh 21373, KalUt
971	CUST000971	4532265704299040	Perkasa Wibisana	Gg. M.T. Haryono No. 998, Banjarbaru 90923, Kalimantan Selatan
972	CUST000972	6011245588527180	Oni Nurdi Yanti	Jln. Bakin No. 915, Sawahlunto SumBar
973	CUST000973	5110303660585720	Clara Wijayanti	Jr. Muwardi No. 207, JakTim, DKI
974	CUST000974	4532762862978300	Vera Victoria Hartati Prabowo Nainggolan	Gang Kalimalang No 298 Cilegon, Banten
975	CUST000975	4532203651039110	Salsabila Zulaika	Jalan Baya Kali Bungur No. 937, Tanjungbalai 53991, Sumatera Utara
976	CUST000976	5270204851583120	Pranawa Pradana	Dk. Flores No. 350, Jambi 
977	CUST000977	KTP4556597358461300	Banara Nashiruddin	Jr. Adisucipto No. 105, Gading Serpong, Tangerang Selatan
978	CUST000978	4716700453729410	Muhammad Simanjuntak M.Ak	Gg. Ters. Buah Batu No. 396, Tual 94508, KalBar
979	CUST000979	5225743003513970	Almira Mardhiyah	Ds. Antapani Lama No. 761, Samarinda 87551, Jawa Barat
980	CUST000980	4716232276376110	Ratna Ade Purwanti S.H.	Kpg. Madiun No. 837, Palembang 98610, SumSel
981	CUST000981	KTP5305851571743840	Kawaca Napitupulu	Jln. Kyai Haji Maskur No. 368, Surabaya 64869, Jatim
982	CUST000982	5425146328741730	Waluyo J Prasetya	Pasar Bakti 699 NTT
983	CUST000983	4556042253011460	Mustika Wibowo	Psr. Honggowongso No. 650, Cimahi 14565, Gorontalo
984	CUST000984	4024007177917710	Sabri P	Kpg. Agus Salim No. 527, Padang 86753
985	CUST000985	KTP4556475749481800	Olivia Rahayu	Dk. Soekarno Hatta No. 770, Batu 76388, JaBar
986	CUST000986	4539604112909270	Respati P Mulyana	Diponegoro No. 171, Probolinggo 57006, Jawa Timur
987	CUST000987	5568182379911740	Zizi Rachel Astuti M.TI.	
988	CUST000988	5409162640301140	Lim Xiao Ke	Pasar Suryo Pranoto No. 905, Sungai Penuh 23413, Jambi
989	CUST000989	4341617033845740	Pranawa Pranowo	Gg. Ketandan No. 292, Balikpapan 53215, Bengkulu
990	CUST000990	5457906329359260	Bakti adi Situmorang	Jalan Baranang Siang No. 189, Singkawang Kalimantan
991	CUST000991	4929571257922850	Damu M	Pangkal Pinang Jalan Bahagia 990, Bangka Belitung
992	CUST000992	5553748373175900	Marsito Warsita Marpaung	Dk. Bata Putih No. 7, Pangkal Pinang 93618, Bangka belitung
993	CUST000993	5334951287701100	Hasna Suryatmi	Psr. Barat No. 348, Pariaman 56073, Sumatera Barat
994	CUST000994	5192407456579430	Yulia P Permata	Jr. Banda No. 636, Tanjung Pinang 45530, Banten
995	CUST000995	5124567316757880	Olga Tampubolon	
996	CUST000996	5588228266984940	Husada Amelia Unjani	Jalan Sugiono No. 914, Tangerang Banten
997	CUST000997	4556056227010600	Dalima Prastuti 	Jl. Suryo No. 553, Banjar  Jawa Barat
998	CUST000998	4716350372213130	Rina Yance Uyainah	Dk. Labu No. 171, Medan SumateraUtara
999	CUST000999	6011068935379450	Elisa Prastuti	
1000	CUST001000	4716483364092100	Keisha Genta Mandasari	Ds. Pelajar Pejuang 45 No. 247, Bandung 79279, DKI
